,id,1_pred,2_pred,3_pred,4_pred,5_pred,6_pred,7_pred,8_pred,1,2,3,4,5,6,7,8
0,29,0.8985267,0.002345258,0.0039770477,0.019374594,0.0070279124,0.9665037,0.005144995,0.0027623326,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,30,0.99044365,0.96434706,0.0043822387,0.0058598164,0.0034416036,0.004430296,0.00099337,0.0023101675,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,32,0.1743768,0.92794806,0.09826358,0.002027695,0.0047621736,0.0093025835,0.0006028291,0.0008505174,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3,43,0.99832445,0.10609637,0.386571,0.0008048491,0.44689602,0.9980883,0.03484845,0.2688601,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
4,44,0.80824584,0.0009593666,0.06039294,0.9712941,0.0022807058,0.007106928,0.0018343751,0.045489073,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
5,45,0.7418572,0.010703276,0.0014953804,0.9977471,0.10047076,0.028289082,0.005673525,0.003433072,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,56,0.9139503,0.0021376873,0.005345803,0.0052587115,0.010335178,0.001004669,0.01238014,0.018303458,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7,63,0.18153274,0.021411235,0.041650187,0.020457204,0.009754465,0.9903617,0.011375439,0.74311453,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,67,0.9437479,0.027497659,0.018630123,0.022042325,0.04315131,0.05457725,0.99582255,0.075781696,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,70,0.009887205,0.02933656,0.47658992,0.9908723,0.008361023,0.00035682213,0.0019342435,0.0016658121,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,73,0.9878251,0.00340269,0.0064016553,0.006834175,0.00414134,0.0016597703,0.0025029297,0.0028045427,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
11,80,0.18558905,0.3489337,0.0012338973,0.99881256,0.017628305,0.26228043,0.12125863,0.0067390534,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,87,0.10837625,0.9856146,0.034694143,0.9922801,0.0032093085,0.112822354,0.021459132,0.0039991383,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,93,0.9890999,0.9621744,0.011138839,0.0022516234,0.743348,0.016524449,0.005011071,0.017818462,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,102,0.0029763805,0.86020637,0.13108572,0.0027860883,0.5261413,0.093553625,0.008074004,0.0064260936,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,126,0.78965604,0.92981046,0.15781814,0.001763463,0.00070636044,0.0006134014,0.000545741,0.0007095229,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
16,143,0.99181646,0.8304604,0.007932566,0.0013117876,0.0024239453,0.17519635,0.0009315884,0.000686158,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,151,0.50422883,0.0028045066,0.5583986,0.000516739,0.118567325,0.8916419,0.0065180724,0.36984277,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
18,173,0.0008379367,0.9553429,0.005590283,0.31956542,0.0035573991,0.0046499097,0.009508782,0.0038286005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,179,0.012208154,0.0014696725,0.11865321,0.9904275,0.0019029089,0.013654884,0.0032343457,0.01002701,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,182,0.0003716307,0.034780007,0.8261268,0.09525067,0.039372627,0.00319079,0.0044959714,0.0018608334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21,193,0.005535212,0.015919706,0.0018510602,0.9968052,0.024819843,0.012912903,0.052439068,0.41150925,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,199,0.95876896,0.007345653,0.019940242,0.0016824508,0.03349566,0.99127805,0.010615202,0.0030479594,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
