ID,link
0000,https://www.wattpad.com/story/51678600-vampire-v%C3%A0-ng%C6%B0%E1%BB%9Di-s%C3%B3i-12-ch%C3%B2m-sao-full
0001,https://www.wattpad.com/story/128268448-n%E1%BB%AF-ng%E1%BB%97-t%C3%A1c-h%E1%BB%8Da-c%E1%BB%91t
0002,https://www.wattpad.com/story/68364418-cryptic-c%C3%A2u-%C4%91%E1%BB%91-cryptic-ft-%C4%91%C3%A1p-%C3%A1n
0003,https://www.wattpad.com/story/89250906-em-s%E1%BA%BD-l%C3%A0-n%E1%BA%A1n-nh%C3%A2n-c%E1%BB%A7a-anh
0004,https://www.wattpad.com/story/182991023-l%E1%BB%9Bp-h%E1%BB%8Dc-r%C3%B9ng-r%E1%BB%A3n
0005,https://www.wattpad.com/story/94601104-edit-ho%C3%A0n-t%C3%A0m-th%E1%BB%B1c-ti%E1%BB%83u-y%C3%AAu-t%E1%BB%AD
0006,https://www.wattpad.com/story/318923628-t%E1%BA%ADp-truy%E1%BB%87n-t%C3%A2m-l%C3%BD-ng%E1%BA%AFn-eve-nguyn
0007,https://www.wattpad.com/story/347361260-anh-trai-18%2B
0008,https://www.wattpad.com/story/318587937-%C4%91%E1%BB%ABng-r%E1%BB%9Di-xa-anh
0009,https://www.wattpad.com/story/189549365-full-tododeku-th%E1%BA%A5t-d%E1%BA%A1-tuy%E1%BA%BFt-7-%C4%91%C3%AAm-tuy%E1%BA%BFt-l%E1%BB%9Bn
0010,https://www.wattpad.com/story/249644296-12-ch%C3%B2m-sao-l%C3%A0ng-c%E1%BB%A7a-s%C3%B3i
0011,https://www.wattpad.com/story/197628156-l%E1%BA%A5y-ch%E1%BB%93ng-r%E1%BA%AFn
0012,https://www.wattpad.com/story/348599576-l%E1%BB%9Di-h%E1%BB%93i-%C3%A2m-kh%C3%B4ng-mong-%C4%91%E1%BB%A3i
0013,https://www.wattpad.com/story/131605605-13-ch%C3%B2m-sao-drop-gi%E1%BA%A3i-m%C3%A3-ng%C3%B4i-tr%C6%B0%E1%BB%9Dng-ma
0014,https://www.wattpad.com/story/324336872-bhtt-%E4%BA%B2%E5%AF%86%E5%85%B3%E7%B3%BB-18%2B
0015,https://www.wattpad.com/story/132964073-male-yandere-x-reader-t%C3%AAn-h%E1%BB%81-s%C3%A1t-nh%C3%A2n-v%C3%A0-b%E1%BA%A3o-v%E1%BA%ADt
0016,https://www.wattpad.com/story/331233992-ta-%E1%BB%9F-ph%E1%BA%A1m-t%E1%BB%99i-hi%E1%BB%87n-tr%C6%B0%E1%BB%9Dng-li%C3%AAu-hung-th%E1%BB%A7
0017,https://www.wattpad.com/story/145836387-b%C3%AD-ng%C3%B4-cu%E1%BB%93ng-s%C3%A1t-pumpkin-night
0018,https://www.wattpad.com/story/127721175-nh%E1%BB%AFng-t%E1%BA%ADp-phim-b%E1%BB%8B-m%E1%BA%A5t-v%C3%A0-nh%E1%BB%AFng-c%C3%A2u-chuy%E1%BB%87n-tui-l%E1%BB%A5m
0019,https://www.wattpad.com/story/108740518-yandere-love-death-full
0020,https://www.wattpad.com/story/346158888-h%E1%BB%8Dc-vi%E1%BB%87n-vampire-zerobaseone
0021,https://www.wattpad.com/story/114658360-%C3%B4ng-x%C3%A3-%7E-anh-l%C3%A0-ma-c%C3%A0-r%E1%BB%93ng
0022,https://www.wattpad.com/story/308966578-the-chaos-chapter-blood_-sunsun-ho%C3%A0n
0023,https://www.wattpad.com/story/136893554-truy%E1%BB%87n-tranh-v%E1%BA%BFt-c%E1%BA%AFn-ng%E1%BB%8Dt-ng%C3%A0o-2
0024,https://www.wattpad.com/story/346907633-taegyu-t%C3%ACnh-hay-m%C3%A1u
0025,https://www.wattpad.com/story/356981504-wanderer-x-reader-m%C3%A1u
0026,https://www.wattpad.com/story/358369619-on-going-%C4%91m-kh%E1%BA%BF-%C6%B0%E1%BB%9Bc-v%E1%BB%9Bi-huy%E1%BA%BFt-t%E1%BB%99c-kh%C3%B4ng-%C4%91i%E1%BB%83n-h%C3%ACnh
0027,https://www.wattpad.com/story/346503136-%E3%80%90%F0%9D%97%9B%F0%9D%97%AE%F0%9D%97%B6%F0%9D%97%9E%F0%9D%97%AE%F0%9D%98%83%F0%9D%97%B2%F0%9D%97%B5%E3%80%91%E2%80%A2-%F0%9D%90%88%F0%9D%90%A5%F0%9D%90%A5%F0%9D%90%AE%F0%9D%90%AC%F0%9D%90%A8%F0%9D%90%AB%F0%9D%90%B2-%F0%9D%90%83%F0%9D%90%AB%F0%9D%90%9E%F0%9D%90%9A%F0%9D%90%A6-%F0%9D%90%88%F0%9D%90%A7-%F0%9D%90%93%F0%9D%90%A1%F0%9D%90%9E-%F0%9D%90%80%F0%9D%90%9B%F0%9D%90%B2%F0%9D%90%AC%F0%9D%90%AC
0028,https://www.wattpad.com/story/358040246-geminifourth-c%E1%BA%AFn-l%C3%AAn-%C4%91%E1%BA%A7u-ng%C3%B3n-tay-anh
0029,https://www.wattpad.com/story/303617064-nam-l%C3%A2n-c%E1%BA%A9m-l%C3%BD
0030,https://www.wattpad.com/story/355752587-%C4%91%C3%B4i-m%E1%BA%AFt-m%C3%A0u-m%C3%A1u-hi%E1%BA%BFucris-huycris
